,시도명,시군구명,동리명,년,월,구분,count,mean,거래날짜,타입
221,경기도,수원시 장안구,천천동,2022,10,전세,25.0,35857.0,2022-10-01,apt
222,경기도,수원시 장안구,파장동,2022,10,월세,1.0,1000.0,2022-10-01,apt
223,경기도,수원시 장안구,파장동,2022,10,전세,2.0,12600.0,2022-10-01,apt
224,경기도,수원시 팔달구,고등동,2022,10,월세,4.0,2975.0,2022-10-01,apt
225,경기도,수원시 팔달구,고등동,2022,10,전세,4.0,25900.0,2022-10-01,apt
226,경기도,수원시 팔달구,교동,2022,10,전세,2.0,23000.0,2022-10-01,apt
227,경기도,수원시 팔달구,매교동,2022,10,월세,3.0,3000.0,2022-10-01,apt
228,경기도,수원시 팔달구,매산로1가,2022,10,월세,1.0,500.0,2022-10-01,apt
229,경기도,수원시 팔달구,매산로2가,2022,10,월세,1.0,3000.0,2022-10-01,apt
230,경기도,수원시 팔달구,매산로2가,2022,10,전세,2.0,26900.0,2022-10-01,apt
231,경기도,수원시 팔달구,매산로3가,2022,10,전세,1.0,26000.0,2022-10-01,apt
232,경기도,수원시 팔달구,우만동,2022,10,월세,36.0,5016.666666666667,2022-10-01,apt
233,경기도,수원시 팔달구,우만동,2022,10,전세,33.0,19749.848484848484,2022-10-01,apt
234,경기도,수원시 팔달구,인계동,2022,10,월세,22.0,3532.2727272727275,2022-10-01,apt
235,경기도,수원시 팔달구,인계동,2022,10,전세,25.0,26302.0,2022-10-01,apt
236,경기도,수원시 팔달구,지동,2022,10,월세,2.0,650.0,2022-10-01,apt
237,경기도,수원시 팔달구,지동,2022,10,전세,1.0,8000.0,2022-10-01,apt
238,경기도,수원시 팔달구,화서동,2022,10,월세,19.0,5526.315789473684,2022-10-01,apt
239,경기도,수원시 팔달구,화서동,2022,10,전세,48.0,25972.395833333332,2022-10-01,apt
240,경기도,안산시 단원구,고잔동,2022,10,월세,39.0,10653.846153846154,2022-10-01,apt
241,경기도,안산시 단원구,고잔동,2022,10,전세,119.0,30871.689075630253,2022-10-01,apt
242,경기도,안산시 단원구,선부동,2022,10,월세,64.0,2766.015625,2022-10-01,apt
243,경기도,안산시 단원구,선부동,2022,10,전세,89.0,18539.887640449437,2022-10-01,apt
244,경기도,안산시 단원구,신길동,2022,10,월세,9.0,5939.333333333333,2022-10-01,apt
245,경기도,안산시 단원구,신길동,2022,10,전세,6.0,27533.333333333332,2022-10-01,apt
246,경기도,안산시 단원구,와동,2022,10,전세,2.0,28500.0,2022-10-01,apt
247,경기도,안산시 단원구,원곡동,2022,10,월세,8.0,5687.5,2022-10-01,apt
