년,월,구분,인구수,행정동코드,행정동,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
2022,10,총인구수,7111,1117053000,남영동,서울특별시,용산구,남영동,11170,53000,서울특별시 용산구 남영동
2022,10,남자인구수,4326,1117053000,남영동,서울특별시,용산구,남영동,11170,53000,서울특별시 용산구 남영동
2022,10,여자인구수,2785,1117053000,남영동,서울특별시,용산구,남영동,11170,53000,서울특별시 용산구 남영동
2022,10,총인구수,19109,1117055500,청파동,서울특별시,용산구,청파동,11170,55500,서울특별시 용산구 청파동
2022,10,남자인구수,8895,1117055500,청파동,서울특별시,용산구,청파동,11170,55500,서울특별시 용산구 청파동
2022,10,여자인구수,10214,1117055500,청파동,서울특별시,용산구,청파동,11170,55500,서울특별시 용산구 청파동
2022,10,총인구수,17070,1117056000,원효로제1동,서울특별시,용산구,원효로제1동,11170,56000,서울특별시 용산구 원효로제1동
2022,10,남자인구수,7958,1117056000,원효로제1동,서울특별시,용산구,원효로제1동,11170,56000,서울특별시 용산구 원효로제1동
2022,10,여자인구수,9112,1117056000,원효로제1동,서울특별시,용산구,원효로제1동,11170,56000,서울특별시 용산구 원효로제1동
2022,10,총인구수,13694,1117057000,원효로제2동,서울특별시,용산구,원효로제2동,11170,57000,서울특별시 용산구 원효로제2동
2022,10,남자인구수,6453,1117057000,원효로제2동,서울특별시,용산구,원효로제2동,11170,57000,서울특별시 용산구 원효로제2동
2022,10,여자인구수,7241,1117057000,원효로제2동,서울특별시,용산구,원효로제2동,11170,57000,서울특별시 용산구 원효로제2동
2022,10,총인구수,10702,1117058000,효창동,서울특별시,용산구,효창동,11170,58000,서울특별시 용산구 효창동
2022,10,남자인구수,5089,1117058000,효창동,서울특별시,용산구,효창동,11170,58000,서울특별시 용산구 효창동
2022,10,여자인구수,5613,1117058000,효창동,서울특별시,용산구,효창동,11170,58000,서울특별시 용산구 효창동
2022,10,총인구수,11562,1117059000,용문동,서울특별시,용산구,용문동,11170,59000,서울특별시 용산구 용문동
2022,10,남자인구수,5551,1117059000,용문동,서울특별시,용산구,용문동,11170,59000,서울특별시 용산구 용문동
2022,10,여자인구수,6011,1117059000,용문동,서울특별시,용산구,용문동,11170,59000,서울특별시 용산구 용문동
2022,10,총인구수,21283,1117062500,한강로동,서울특별시,용산구,한강로동,11170,62500,서울특별시 용산구 한강로동
2022,10,남자인구수,10112,1117062500,한강로동,서울특별시,용산구,한강로동,11170,62500,서울특별시 용산구 한강로동
2022,10,여자인구수,11171,1117062500,한강로동,서울특별시,용산구,한강로동,11170,62500,서울특별시 용산구 한강로동
2022,10,총인구수,25083,1117063000,이촌제1동,서울특별시,용산구,이촌제1동,11170,63000,서울특별시 용산구 이촌제1동
2022,10,남자인구수,11779,1117063000,이촌제1동,서울특별시,용산구,이촌제1동,11170,63000,서울특별시 용산구 이촌제1동
2022,10,여자인구수,13304,1117063000,이촌제1동,서울특별시,용산구,이촌제1동,11170,63000,서울특별시 용산구 이촌제1동
2022,10,총인구수,8053,1117064000,이촌제2동,서울특별시,용산구,이촌제2동,11170,64000,서울특별시 용산구 이촌제2동
2022,10,남자인구수,3764,1117064000,이촌제2동,서울특별시,용산구,이촌제2동,11170,64000,서울특별시 용산구 이촌제2동
2022,10,여자인구수,4289,1117064000,이촌제2동,서울특별시,용산구,이촌제2동,11170,64000,서울특별시 용산구 이촌제2동
2022,10,총인구수,6119,1117065000,이태원제1동,서울특별시,용산구,이태원제1동,11170,65000,서울특별시 용산구 이태원제1동
2022,10,남자인구수,3035,1117065000,이태원제1동,서울특별시,용산구,이태원제1동,11170,65000,서울특별시 용산구 이태원제1동
2022,10,여자인구수,3084,1117065000,이태원제1동,서울특별시,용산구,이태원제1동,11170,65000,서울특별시 용산구 이태원제1동
2022,10,총인구수,8768,1117066000,이태원제2동,서울특별시,용산구,이태원제2동,11170,66000,서울특별시 용산구 이태원제2동
2022,10,남자인구수,4051,1117066000,이태원제2동,서울특별시,용산구,이태원제2동,11170,66000,서울특별시 용산구 이태원제2동
2022,10,여자인구수,4717,1117066000,이태원제2동,서울특별시,용산구,이태원제2동,11170,66000,서울특별시 용산구 이태원제2동
2022,10,총인구수,19530,1117068500,한남동,서울특별시,용산구,한남동,11170,68500,서울특별시 용산구 한남동
2022,10,남자인구수,9414,1117068500,한남동,서울특별시,용산구,한남동,11170,68500,서울특별시 용산구 한남동
2022,10,여자인구수,10116,1117068500,한남동,서울특별시,용산구,한남동,11170,68500,서울특별시 용산구 한남동
